text,label
"Refund tiket bioskop yang dibatalkan",Refund
"Pengembalian dana pembelian buku online",Refund
"Refund langganan majalah digital",Refund
"Uang kembali dari merchant e-wallet",Refund
"Pengembalian produk karena rusak",Refund
"Keuntungan mingguan toko kue",Small Business
"Hasil penjualan warung sarapan",Small Business
"Pendapatan usaha jasa fotokopi",Small Business
"Omzet bisnis kerajinan tangan",Small Business
"Penghasilan harian dari food truck",Small Business
"Hadiah lomba menulis cerpen",Gift
"Gift card dari rekan kerja",Gift
"Hadiah ulang tahun dari perusahaan",Gift
"Pemberian uang saat wisuda",Gift
"Hadiah dari event komunitas",Gift
"Return dari deposito jangka pendek",Investment
"Imbal hasil bulanan dari P2P lending",Investment
"Pendapatan saham reksa dana indeks",Investment
"Keuntungan dari emas digital",Investment
"Dividen tahunan dari ETF luar negeri",Investment
"Transfer dari teman nongkrong",Other
"Patungan acara reuni",Other
"Transfer tidak dikenal masuk rekening",Other
"Dana sosial dari komunitas lokal",Other
"Pembayaran split bill makan malam",Other
